trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
2.30,-73.956718444824219,40.777946472167969,-73.983131408691406,40.761943817138672,17.15
2.10,-73.961189270019531,40.756389617919922,-73.956634521484375,40.779136657714844,18.5
2.20,-73.999107360839844,40.734291076660156,-73.978988647460938,40.762714385986328,13.92
2.19,-73.948295593261719,40.782772064208984,-73.97100830078125,40.761333465576172,18.3
1.50,-73.96295166015625,40.772182464599609,-73.978057861328125,40.758094787597656,14.15
2.00,-73.975631713867188,40.749130249023438,-73.955940246582031,40.773815155029297,14.3
1.71,-73.988128662109375,40.748161315917969,-73.997604370117187,40.73004150390625,11.16
1.87,-73.957633972167969,40.773841857910156,-73.981056213378906,40.777496337890625,10.25
3.20,-73.995712280273437,40.759246826171875,-74.010055541992188,40.720611572265625,13.8
1.57,-73.959213256835938,40.774730682373047,-73.974349975585937,40.758068084716797,13.3
1.39,-73.988182067871094,40.743278503417969,-73.975082397460938,40.756923675537109,14.04
1.70,-73.989028930664062,40.736415863037109,-73.974151611328125,40.757259368896484,12.3
2.10,-73.953399658203125,40.7796630859375,-73.963127136230469,40.7994384765625,14.3
2.31,-73.984756469726563,40.758983612060547,-73.962715148925781,40.766845703125,17.76
2.35,-73.981239318847656,40.747390747070313,-74.004631042480469,40.723468780517578,14.16
1.29,-73.981170654296875,40.741325378417969,-73.976974487304688,40.756210327148438,14.16
2.50,-73.963912963867188,40.767890930175781,-73.992584228515625,40.749404907226563,17.8
1.70,-73.975715637207031,40.791984558105469,-73.99200439453125,40.770633697509766,10.55
2.40,-74.00030517578125,40.747894287109375,-74.006423950195313,40.715591430664063,16.3
1.70,-74.004081726074219,40.731220245361328,-73.986007690429688,40.740676879882813,12.35
1.50,-73.991920471191406,40.749378204345703,-73.975234985351563,40.741649627685547,17.25
1.00,-73.959053039550781,40.760116577148438,-73.972793579101563,40.755847930908203,12.8
1.30,-73.966537475585937,40.758258819580078,-73.985511779785156,40.757877349853516,13.3
2.18,-73.978813171386719,40.787609100341797,-73.982879638671875,40.759220123291016,16.56
1.73,-73.982330322265625,40.768218994140625,-73.970733642578125,40.751781463623047,13.8
2.71,-73.9793701171875,40.747081756591797,-73.9761962890625,40.775901794433594,18.3
2.72,-73.954307556152344,40.599018096923828,-74.005119323730469,40.720573425292969,14.76
1.10,-73.992317199707031,40.715126037597656,-74.003211975097656,40.723491668701172,11.8
2.60,-73.954627990722656,40.789409637451172,-73.981163024902344,40.763778686523438,19.56
1.30,-73.958366394042969,40.800838470458984,-73.972969055175781,40.793216705322266,12.5
2.13,-73.953750610351563,40.785224914550781,-73.972831726074219,40.758354187011719,12.3
3.03,-73.974708557128906,40.733509063720703,-74.002410888671875,40.71002197265625,14.16
1.10,-73.980598449707031,40.737911224365234,-73.995491027832031,40.736125946044922,11.15
4.80,-73.944709777832031,40.803035736083984,-73.96624755859375,40.753128051757812,19.8
